Date,Source ,Text
22-Oct-22,LFB Richmond (@lfb_richmond),"Report of a multi-agency exercise involving a mid-stream collision between two boats near Hampton Court, with multiple casualties in the water. The exercise included LFB, SFRS, LAS, SECAMB, RNLI, MET, and SURREY POLICE."
21-Oct-22,News Chaser (@1stDueMedia),"Announcement of a serious collision on BCHWY99 in South Surrey, with no major injuries reported. Suspected factors include alcohol and speed."
21-Oct-22,Surrey Choices (@SurreyChoices),Rhythmic Collision won the Community Project/Champion award at the Surrey Heath Sports Awards for their promotion of physical activity to Surrey Heath residents and wider Surrey.
21-Oct-22,BBC Radio London Travel (@BBCTravelAlert),Re: #Rosehill in Sutton: #A217 Reigate Avenue has reopened between #A297 Rose Hill Rbt and Glastonbury Rd after a collision earlier on.
21-Oct-22,BBC Radio London Travel (@BBCTravelAlert),Re: #Rosehill in Sutton: #A217 Reigate Avenue stays closed between #A297 Rose Hill Rbt and Glastonbury Rd after a collision.
21-Oct-22,BBC Radio London Travel (@BBCTravelAlert),#Rosehill in Sutton: #A217 Reigate Avenue is shut each way between #A297 / Rose Hill Rbt and Glastonbury Rd after a collision. Delays in the area.
21-Oct-22,Sutton MPS (@MPSSutton),Emergency services are in attendance following a collision on Reigate Avenue. Motorists are advised to avoid the area.
21-Oct-22,Jambuster (@JambusterLondon),A217 Reigate Avenue (Both directions) between A217 Rosehill Roundabout and Glastonbury Road - Road is closed due to a collision. Use another route. Delays are possible on diversion. #LondonTraffic
19-Oct-22,ATC Surrey (@ATC_Surrey),"Windshields are designed to keep passengers and drivers safe in the event of an off-road accident or collision, but when a windshield is not installed correctly, they can get ejected and suffer serious injuries. Explore more here: https://hubs.li/Q01q29BJ0"
18-Oct-22,Surrey Heath (@Surreyheath),"Surrey Security Community Project of the Year awarded to Rhythmic Collision Dance Company from Surrey Choices, along with a photo featuring @PGcomms. Surrey Playing Fields Volunteer of the Year awarded to Jay Wilcox of @Camberleyrfc1, Surrey Choices, and Surrey Security Service Ltd."
17-Oct-22,Keoni #ProtectPolol?Valley?? (@Keoni_DiFranco),"Request to see a police report regarding a water line break that delayed the #RedHill defueling, possibly caused by a car crash at the specific location to have caused significant damage and halt defueling."
16-Oct-22,Surrey Choices (@SurreyChoices),Rhythmic Collision is shortlisted for the Community Project/Champion award at the Surrey Heath Sports Awards. Fingers crossed for their win.
16-Oct-22,Kenneth Chan (@iamkennethchan),Surrey mayor Doug McCallum reportedly returned his City-owned vehicle with collision damage after losing his re-election.
16-Oct-22,National Highways: South-East (@HighwaysSEAST),"All lanes have reopened on the M25 anti-clockwise between J9 (Leatherhead) and J8 (Reigate) following an earlier collision, with residual congestion causing 15 minutes of delays above usual journey times."
13-Oct-22,National Highways: South-East (@HighwaysSEAST),"The M25 anti-clockwise between J9 (Leatherhead) and J8 (Reigate) experienced lane closures due to a collision, leading to 25 minutes of delays and about 3 miles of congestion."
13-Oct-22,Surrey Heath (@Surreyheath),"Community Champion / Project of the Year nominations, including Rhythmic Collision from Surrey Choices."
13-Oct-22,Candy Carriers - Transport Services in Kent (@CandyCarriers),M25 Accident Report: M3 eastbound between junctions J3 (Woking) & J2 (Gatwick M23) - Lanes 3 & 4 closed due to a road traffic collision. Delays expected.
12-Oct-22,BBC Sussex and Surrey Travel (@BBCSxSyTravel),#SURREY #M3 - Two lanes closed and long delays due to an earlier collision Northbound from before J3 (Bracknell/Woking) to J2 (M25).
12-Oct-22,Spooky Olive?????? (@Dustb1nLid),"Mention of a loud noise heard in Farnham, possibly due to a significant event."
12-Oct-22,Cricket slave (@cricketslave),"Discussion about cricket and the performance of Jason Roy and Will Jacks, with mention of a ""car crash waiting to happen."""
12-Oct-22,Woking Beat (Surrey Police),"Report of a collision between a pedestrian and a car in St Johnís, Woking. Road closed due to the incident."
11-Oct-22,National Highways: South-East,Report that the M3 in Surrey is now OPEN westbound between J1 (Sunbury-on-Thames) after an earlier collision. Two lanes remain closed for recovery and cleanup.
09-Oct-22,National Highways: South-East,Report of the M3 in Surrey being CLOSED westbound between J1 (Sunbury-on-Thames) and J2 (M25) due to a collision involving two vehicles. Eastbound carriageway blocked for an Air Ambulance to land.
09-Oct-22,National Highways: South-East,All lanes are now open on the M3 eastbound between J4 and J3 near Camberley following an earlier collision. Delays of less than 10 minutes remain on the approach.
08-Oct-22,SurreyLive,Report that the M3 has been closed eastbound in Surrey due to a collision.
08-Oct-22,National Highways: South-East,One lane is now open on the M3 eastbound between J4 and J3 near Camberley following a collision. Two lanes remain closed. Approx. 2 miles of congestion with 30-minute delays.
08-Oct-22,National Highways: South-East,The M3 eastbound remains blocked between J4 and J3 near Camberley due to a collision. The westbound carriageway is now fully open. No delays/congestion westbound.
08-Oct-22,National Highways: South-East,Traffic is held on the M3 in both directions between J4 and J3 near Camberley due to a collision. Approx. 2 miles of congestion eastbound.
08-Oct-22,National Highways: South-East,Traffic is held on the M3 eastbound between J4 and J3 near Camberley due to a collision. Updates to follow soon.
07-Oct-22,The Borough of Hounslow Herald,A cyclist from Surrey has been charged with cycling without due care and attention following a collision in Richmond Park. Two cyclists were hospitalized after the collision.
07-Oct-22,Royal Parks Police,"Mr. Stringer, 45, from Surrey, has been charged with cycling without due care and attention following a collision on Broomfield Hill in Richmond Park on 01/05/22. The male was cycling up Broomfield Hill when he went onto the opposite side of the carriageway, colliding with..."
07-Oct-22,Australian Traffic Network WA,Report of a collision in the right-hand lane westbound on Guildford Road at Ninth Avenue in Maylands.
06-Oct-22,24 Hr Collision Center - Surrey,"Promotion for 24 Hr Collision Center in Surrey, emphasizing exceeding customer expectations for collision repair services. If you need a trusted and reliable collision repair team, contact them at (778) 565-3288."
06-Oct-22,BBC Sussex and Surrey Travel,"A report about the M25 in Surrey, anticlockwise direction, experiencing queueing traffic for seven miles due to an earlier collision after J12 M3. Congestion is extending to J14 Heathrow, with a travel time of 25 minutes."
06-Oct-22,BBC Sussex and Surrey Travel,"A report indicating that the M3 in Surrey, west/southbound, remains closed between J8 and J9. A diversion route is provided via the A303 and A34 (signed with a solid triangle symbol on road signs). The closure is expected to remain in place until at least 08:00 for collision investigation work."
06-Oct-22,Tom Zillich,"A tweet about Surrey's BB5 UNITED soccer team, named after a teammate, Brandon Bassi, who was killed in a car crash. The team is participating in Canada Soccer nationals in Ontario and continues to honor Bassi through jerseys and photos."
05-Oct-22,BB5 UNITED,A tweet from BB5 UNITED reporting a 7-0 win over SK Classico at CSA Men's Nationals. The tweet lists the goal scorers.
04-Oct-22,Marcus Malone (@marcus_malone_),Needed car and went to @TrustFordUK in Epsom. Lovely friendly staff but 7 months later I was informed the car had been in a front end collision.... Arghhhh! Consumer Rights here I come.... Real bummer! Don't TRUST @TrustFordUK.
04-Oct-22,Hamilton Street Railway (@hsr),"#HSRAlert: Due to a collision on the Redhill Parkway, various routes are delayed. Customers are encouraged to leave extra time for their travels. We appreciate your patience at this time."
04-Oct-22,HSRnow (@HsrNow),NEW
04-Oct-22,Guildford Beat (Surrey Police) (@GuildfordBeat),"Officers are on the scene following a collision between a vehicle and a pedestrian on Aldershot Road in Guildford at around 9:15 am. One man has been airlifted to hospital with serious injuries. If you witnessed the incident, please DM us quoting PR/P22207630."
04-Oct-22,rattanjournalist (@RattanNews),Single vehicle collision in Surre
03-Oct-22,Greg (@GregviiGreg),Your ìimpaired car crashî is a Mountie. You really shouldnít start slinging mud because it wasnít SPS that violated evidence management putting hundreds of cases in jeopardy. It wasnít the SPS that was having sex with Surrey Six girlfriends and them paying them to keep quiet
03-Oct-22,Candy Carriers - Transport Services in Kent (@CandyCarriers),Monday 3rd October 2022 @ 13:10 M25 Accident Report M25 anticlockwise between junctions J11 (Chertsey) & J10 (Guildford) Hard & lane 1 closed Road traffic collision Expected to clear between 14:30 & 14:45 One lane closed
03-Oct-22,Roads Policing - Surrey Police - UK (@SurreyRoadCops),We currently have Farnham Road in #Guildford closed in both directions from the Hogs Back and Guildford Park Road whilst we carry out investigation work following a recent Road traffic collision. Thank you for your patience.
03-Oct-22,abuukasyah (@abuukas60979442),Horley crash sees two people in hospital following car and bus collision ñ recap ñ Surrey Live
03-Oct-22,abuarsyad (@abuarsy21355212),Horley crash sees two people in hospital following car and bus collision ñ recap ñ Surrey Live
03-Oct-22,abukayyis (@abukayyis42),Horley crash sees two people in hospital following car and bus collision ñ recap ñ Surrey Live
30-Sep-22,National Highways: South-East (@HighwaysSEAST),"The scene is now clear and all lanes have re-opened on the #A3 northbound between the #A31 and the #A322 near #Guildford following an earlier collision. Thank you for your patience, please have a safe onward journey."
30-Sep-22,National Highways: South-East (@HighwaysSEAST),"Lane 1 (of 2) is closed on the #A3 northbound between the #A31 and the #A322 near #Guildford following a collision which has resulted in a spillage. There are 40 minute delays on approach, please take care and allow extra time for your journey. Thank you for your patience."
29-Sep-22,Surrey Police Service (@surreyps),"Today we honour the life of Constable John Terrance Draginda. On Sept 29, 1974, Cst. Draginda was on General Duty at Surrey RCMP when he was involved in a fatal collision with another vehicle. Constable Draginda, we thank you for your service to #SurreyBC."
28-Sep-22,ATC Surrey (@ATC_Surrey),"A job as a collision estimator can be rewarding, fun, and lucrative. Hereís what to consider to ensure you get the training you need."
28-Sep-22,24 Hr Collision Center - Surrey (@24hrCntrSurrey),Welcome to 24 Hr Collision Center - Surrey: Where customer satisfaction is always guaranteed! Schedule an appointment with us at (778) 565-3288.
28-Sep-22,Vilo Pouris (@vilopouris2),"Top story: @BBCTravelAlert: 'Anticlockwise #M25 between J8 Reigate and J7 M23 is blocked by a collision ' , see more https://tweetedtimes.com/vilopouris2?s=tnp"
28-Sep-22,BBC Radio London Travel (@BBCTravelAlert),Anticlockwise #M25 between J8 Reigate and J7 M23 is blocked by a collision
28-Sep-22,National Highways: South-East (@HighwaysSEAST),"Traffic is currently stopped on the #M25 in #Surrey anti-clockwise between J8 and J7 due to a multi-vehicle collision. @SurreyPolice, Fire service and Traffic Officers in attendance. More information to follow soon, thank you for your patience."
27-Sep-22,Candy Carriers - Transport Services in Kent (@CandyCarriers),"Tuesday 27th September 2022 @ 17:10 M25 Accident Report M23 southbound between junctions J8 (Reigate) & J9 (Gatwick Airport) Lanes 1,2 & 3 closed Road traffic collision Expected to clear between 21:15 & 21:30 Three lanes closed"
24-Sep-22,Roads Policing - Surrey Police - UK (@SurreyRoadCops),We are currently dealing with an RTC on the #A31 towards Guildford at the Junction of White Lane. Traffic can pass but it is slow. We hope to clear the road very shortly. #hogsback #Collision
24-Sep-22,Cyber Security News (@SecurityToday),Hogs Back: Pedestrian dies after collision with HGV on A31 Farnham Road
23-Sep-22,Haslemere Herald (@HaslemereH),Pedestrian dies after collision with HGV on A31 Farnham Road
23-Sep-22,Farnham Herald (@farnhamherald),Hogs Back: Pedestrian dies after collision with HGV on A31 Farnham Road
23-Sep-22,UMD Science (@UMDscience),#UMD astronomers used impact models to determine how much to nudge an asteroid so that it changes orbit ñ and thus theoretically avoids collision with Earth. Watch @UMDAstronomy's Tony Farnham discuss the #DARTMission with @fox5dc's @stevechenevey: http://fox5dc.com/video/1121368
22-Sep-22,CBC Toronto Traffic (@CBCTrafficTO),Good afternoon! EB 401 collector to express transfer at Morningside - stall LL. WB 401 collector ramp to Islington - stall LL.. WB QEW at Redhill Valley RD - on-ramp blocked with a collision in the LL. In-town collision at Sherbourne and Queen. HWY 9 and Airport Rd - CLEARED.
22-Sep-22,National Highways: South-East (@HighwaysSEAST),#Surrey. 1 lane is closed on the #A3 southbound at the minor junction between the #A322 and the #A31 near #Guildford due to a collision. Please take care on approach. There are 30 minute delays prior to the closure.
20-Sep-22,National Highways: South-East (@HighwaysSEAST),Traffic has been released on the #A3 southbound between #A322 #A25 Dennis Roundabout and #A31 in #Guildford following an earlier collision. All earlier delays have eased.
20-Sep-22,National Highways: South-East (@HighwaysSEAST),The #A3 is currently blocked southbound between #A322 #A25 Dennis Roundabout and #A31 in #Guildford. Police are in attendance with a collision. There are long delays on the approach. Follow @SurreyRoadCops for updates.
18-Sep-22,??Kaytee - a certain sort of person ?? (@magentawillow),Replying to @Munku1 He doesn't have to be. He showed his guilt by the car crash TV interview where he lied about being at Pizza Express in Woking & he got his mummy to pay the victim £12 million!! If you can't see why he should be out of sight & out of uniform that coma must have caused some damage
18-Sep-22,National Highways: South-East (@HighwaysSEAST),1 lane (of 4) is closed on the #M25 clockwise in #Surrey between J11 (for #Woking) and J12 (for the #M3) due to a collision involving 3 vehicles. Emergency services are in attendance. There's a 20 minute delay on approach so please allow extra journey time.
15-Sep-22,Candy Carriers - Transport Services in Kent (@CandyCarriers),Thursday 15th September 2022 @ 08:25 M25 Accident Report M25 anticlockwise between junctions J11 (Chertsey) & J10 (Guildford) Lanes 3 & 4 closed Road traffic collision Expected to clear between 09:00 & 09:15 Two lanes closed
15-Sep-22,National Highways: South-East (@HighwaysSEAST),Lanes 3 and 4 (of 4) are closed on the #M25 anti-clock between J11 #Chertsey and J10 #A3 #Guildford due to a collision. Emergency services are at scene and Traffic Officers are en route. There is 5 miles of congestion on approach causing 20 min delays above normal travel time.
14-Sep-22,Blender Fox Travel Updates (@UpdatesBf),#BF_BUS_405 London Road North / Merstham: Route 405 is operating between Croydon and Coulsdon Town only due to a collision. Stops from Coulsdon Town to Redhill Bus Station are not being served.
14-Sep-22,Blender Fox Travel Updates (@UpdatesBf),#BF_BUS_405 London Road North / Merstham: Route 405 is operating between Croydon and Hooley only due to a collision. Stops from Church Lane to Redhill Bus Station are not served.
12-Sep-22,Outofthecity (@Left_the_city1),"Replying to @Patrick__Whelan @theJeremyVine and @HolyroodDaily Andrew was involved with Epstein, Maxwell et al. His car crash interview & lame ridiculous excuses of not sweating & eating pizza in Woking are the hallmarks of someone up to their neck in a very nasty sordid affair. The army distanced themselves as should any decent human being."
08-Sep-22,The Guildford Dragon NEWS (@guildforddragon),Did You See Collision on the Farnham Road? https://guildford-dragon.com/did-you-see-collision-on-the-farnham-road/
08-Sep-22,Guildford Beat (Surrey Police) (@GuildfordBeat),"Did you witness a collision between a pedestrian and a white van on Farnham Road in Guildford yesterday (7 Sept)? It occurred at around 9.10pm near to the junction with Friarís Gate. If you witnessed the collision or have dashcam footage, please DM us quoting PR/45220096423."
07-Sep-22,BBC Sussex and Surrey Travel (@BBCSxSyTravel),#FARNHAM A325 WEST STREET PARTIALLY BLOCKED BOTH DIRECTIONS queueing traffic due to collision between A287 Downing Street and Crondall Lane.
06-Sep-22,BBC Sussex and Surrey Travel (@BBCSxSyTravel),#WRECCLESHAM A325 WEST STREET BOTH DIRECTIONS Reports of queueing traffic due to collision on A325 West Street in both directions between School Hill and A31 Farnham By Pass (Coxbridge Roundabout).
05-Sep-22,BBC Sussex and Surrey Travel (@BBCSxSyTravel),"#M25 ANTICLOCKWISE Traffic easing, following earlier collision on M25 anticlockwise between J8 A217 Brighton Road (Reigate) and J7 M23."
05-Sep-22,BBC Sussex and Surrey Travel (@BBCSxSyTravel),"#M25 ANTICLOCKWISE Partially blocked, queueing traffic due to collision between J8 A217 Brighton Road (Reigate) and J7 M23."
31-Aug-22,BBC Sussex and Surrey Travel (@BBCSxSyTravel),#GODALMING B2130 THE STREET BOTH DIRECTIONS Reports of slow traffic due to collision between Munstead Heath Road (Godalming) and Thorncombe Street (Hascombe).
25-Aug-22,Glenn Scott (@glenrules),Brookside when Susannah Farnham had a car crash and BOTH of her kids died ??
24-Aug-22,Jenni Fletcher (@JenniAuthor),What tv/films traumatised you at a young age? Mine would be Casualty (gas explosion on a canal boat) and an episode of Taggart with Lucius Malloy and poisonous frogs. Iíve been asking this question as research and everyoneís a mass of phobias. Looks sternly at parentsÖ ??
25-Aug-22,Australian Traffic Network WA (@GettrafficWA),Bayswater - collision in the right hand lane southbound Tonkin Highway at Guildford Road
24-Aug-22,Candy Carriers - Transport Services in Kent (@CandyCarriers),Wednesday 24th August 2022 @ 17:10 M25 Accident Report M3 eastbound between junctions J3 (Woking) & J2 (Gatwick M23) Lane one closed Road traffic collision expected to clear between 18:30 & 18:45 One lane closed
24-Aug-22,Live Traffic Sydney (@LiveTrafficSyd),MOOREBANK: 2 of 3 eastbound lanes of Newbridge Rd are closed at Epsom Rd due to a car crash. Allow extra travel time.
23-Aug-22,Candy Carriers - Transport Services in Kent (@CandyCarriers),Tuesday 23rd August 2022 @ 17:10 M25 Accident Report M25 anticlockwise between junctions J11 (Chertsey) & J10 (Guildford) Hard shoulder & lane 1 closed Road traffic collision Expected to clear between 17:45 & 18:00 One lane closed
23-Aug-22,Fire and Rescue NSW (@FRNSW),GUILDFORD
22-Aug-22,National Highways: South-East (@HighwaysSEAST),#M25 anti-clockwise at J8 #Reigate. Traffic is being diverted off and on due to a collision within the junction closing all lanes. @SurreyRoadCops @SurreyFRS @SECAmbulance and our #trafficofficers are on scene. 30-45 min delay with slow traffic from J9
19-Aug-22,Ron Eisele (@ron_eisele),"Died in a motor car accident 20 August 1925 in Guildford, Surrey, 39 victory Sopwith Camel ace with 8 Naval (208 Squadron RAF) Captain William Lancelot Jordan DSC and Bar, DFC."
18-Aug-22,Candy Carriers - Transport Services in Kent (@CandyCarriers),Thursday 18th August 2022 @ 08:20 M25 Accident Report M23 southbound between junctions J8 (Reigate) & J9 (Gatwick Airport) Lane four closed Road traffic collision Expected to clear between 09:00 & 09:15 One lane closed
15-Aug-22,Australian Traffic Network WA (@GettrafficWA),Bayswater - collision in the right hand lane southbound Tonkin Highway before Guildford Road
14-Aug-22,Surrey Police (@SurreyPolice),The High Street in #Epsom has reopened following a fail to stop collision earlier today (14 August). Our enquiries remain ongoing to trace two vehicles seen in the area at the time. https://surrey.police.uk/news/surrey/news/2022/august/witness-appeal-after-fail-to-stop-collision-in-epsom/
14-Aug-22,Radio Jackie News (@Jackie_News),Police are appealing for witnesses after a fail to stop collision between a car and a moped driver in Epsom this morning https://bit.ly/3JU0qnc
14-Aug-22,Epsom and Ewell Beat (Surrey Police) (@EpsomEwellBeat),"We are appealing for witnesses after a fail to stop collision on the High Street in Epsom this morning (14 August) at around 12:40am. If you witnessed the incident, or have any dashcam footage, please contact us quoting PR/ P22170621. More info: https://surrey.police.uk/news/surrey/news/2022/august/witness-appeal-after-fail-to-stop-collision-in-epsom/"
14-Aug-22,Epsom and Ewell Beat (Surrey Police) (@EpsomEwellBeat),Officers are on scene after a collision on the High Street in Epsom. The road is currently closed between the junction with Ashley Road and Waterloo Road and the junction for Church Street and East Street. Weíre asking people to find an alternative route while the road is closed.
13-Aug-22,Kirkwood Business Services (@KirkBizTweets),"Replying to @TheIanMackenzie Maybe this? Officers were called to reports of a collision between a black Volkswagen car and a pedestrian, who was using a childís scooter, at around 8:20pm on York Road in Guildford, at the junction with Denmark Road. A child has been taken to hospital with serious injuries."
11-Aug-22,Fleet Fire Station (@fleet04),"Yesterday Duck Norris was called to Leatherhead, Bradley near Lasham, and Andover for fires. The fire engine was called to a road traffic collision in the M3 #teamhants"
09-Aug-22,Public Defender (same info on Bluu Skii) (@cynicalbiitch),I have this dead spot on my leg from a car accident over a decade ago where the nerves were crushed and sometimes it will suddenly decide to start having stabbing pains. Today is one of those days. So I'm going try taking a hot epsom salt bath to make it stop bc omg it hurts.
09-Aug-22,Guildford Beat (Surrey Police) (@GuildfordBeat),"Weíre appealing for witnesses after a single-vehicle collision involving a pedal bike in Guildford earlier today (9 August). If you witnessed the collision, or have dashcam footage of the area at the time, please contact us quoting PR/P22166924. More info: https://surrey.police.uk/news/surrey/news/2022/august/witness-appeal-after-collision-in-guildford/"
09-Aug-22,Guildford Beat (Surrey Police) (@GuildfordBeat),Update: The Epsom Road in Guildford has now reopened after a collision earlier today. The road was previously closed between the A25 roundabout for Park Lane and the crossroads with The Street and Shere Road. Thank you for finding an alternative route while the road was closed.
08-Aug-22,Peter Owen (@PeterOwenADI),Live as Guildford trains delayed and cancelled following vehicle collision with bridge https://bit.ly/3A30WMq #driving #news
08-Aug-22,DoDriveÆ Driving School (@DoDrive),Live as Guildford trains delayed and cancelled following vehicle collision with bridge https://ift.tt/LAXxn1r #driving #news
08-Aug-22,Jeni Taylor (@jenitaylor80),Live as Guildford trains delayed and cancelled following vehicle collision with bridge https://getsurrey.co.uk/news/surrey-news/live-guildford-trains-delayed-cancelled-24701257
08-Aug-22,Woking Noticeboard (@wokingboard),NEWS: Live as Guildford trains delayed and cancelled following vehicle collision with bridge ? https://ift.tt/AOe0i9L via SurreyLive
08-Aug-22,BBC Radio London Travel (@BBCTravelAlert),The clockwise #M25 is slow moving from J9 Leatherhead to J10 A3 because of an earlier  collision after Cobham Services
06-Aug-22,Woking Beat (Surrey Police) (@WokingBeat),Officers were called this evening (6 August) at around 19:35 to a one-vehicle collision on Oak Lane in Woking.
06-Aug-22,Jaun News Usa (@jaunnewsusa),Woman dies in head-on collision at Farnham https://jaunbaba.com/woman-dies-in-head-on-collision-at-farnham/
06-Aug-22,Montreal Gazette (@mtlgazette),Woman dies in head-on collision in Farnham https://montrealgazette.com/news/local-news/woman-dies-in-head-on-collision-in-farnham?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1659804663
06-Aug-22,Jason Mayoff (@cjjmad),"28-year-old woman killed in head-on collision in Quebec's Eastern Townships A 28-year-old woman was killed in a head-on collision on Friday evening on Route 104 near Bricault Road in Farnham, in the Eastern Townships, an hour southeast of Montreal."
06-Aug-22,CJAD 800 Montreal (@CJAD800),"A 28-year-old woman was killed in a head-on collision on Friday evening on Route 104 near Bricault Road in Farnham, in the Eastern Townships, an hour southeast of Montreal."
06-Aug-22,?ya basta! ? libertad del fascismo (@armedqueerious),"Replying to @tgl_comic I did think I had a shoulder sublux a few months back from a car accident but I thought I fixed it? Hot water soaks with epsom salts and myrrh oil are definitely my tension reliever of choice, followed by a heat pad directly to the area, but how water is hard to get iny apt"
05-Aug-22,National Highways: South-East (@HighwaysSEAST),Replying to @HighwaysSEAST The vehicles involved in the earlier collision on the#A3 northbound between #A283 near #Milford (north) and #B3000 near #Compton - approaching #Guildford have now been recovered from the scene. #TrafficOfficers have reopened all of the lanes with residual delays of 15 minutes.
05-Aug-22,National Highways: South-East (@HighwaysSEAST),#A3 northbound between #A283 near #Milford (north) and #B3000 near #Compton - approaching #Guildford. 1 lane (of 2) is closed due to a collision. Injuries and debris/fuel spill reported. 25 minute delays on the approach; 3 miles of congestion. @SurreyRoadCops in attendance.
04-Aug-22,National Highways: East (@HighwaysEAST),All lanes are now open on the #M25 clockwise between J8 (#Reigate) and J9 (#Leatherhead) following the earlier collision. There is approx. 3 miles of residual congestion on approach so please allow extra time for your journey.
04-Aug-22,National Highways: East (@HighwaysEAST),"The #M25 clockwise between J8 (#Reigate) and J9 (#Leatherhead), lane 1 (of 4) is closed due to a collision. There is approx. 2 miles of congestion on approach, causing delays of 20 minutes above usual journey times."
04-Aug-22,Candy Carriers - Transport Services in Kent (@CandyCarriers),Thursday 4th August 2022 @ 13:10 M25 Accident Report M25 clockwise between junctions J8 (Reigate) & J9 (Leatherhead) Hard shoulder & lane 1 closed Road traffic collision Expected to clear between 14:00 & 14:15 One lane closed
03-Aug-22,Australian Traffic Network WA (@GettrafficWA),Bayswater - collision in the right hand lane southbound Tonkin Highway at Guildford Road
03-Aug-22,JustRacing.com.au (@justracingcomau),Fangirl and Hinged on a Epsom Handicap collision course https://justracing.com.au/horse-racing/espiona-to-be-kept-to-sprints/99618
03-Aug-22,BBC Sussex and Surrey Travel (@BBCSxSyTravel),"#BROADBRIDGEHEATH A281 GUILDFORD ROAD BOTH DIRECTIONS BLOCKED between Farlington School and A29 Bognor Road, due to earlier collision."
01-Aug-22,Guildford Beat (Surrey Police) (@GuildfordBeat),Weíre appealing for witnesses after a collision b/w a white pick-up truck & a van parked at the side of the road on Shalford Rd (A281) in Guildford this morning @ 9.30am. The road was closed for a short time but has reopened. Got info or dashcam footage? Pls DM us.
01-Aug-22,Waverley Beat (Surrey Police) (@WaverleyBeat),Update: The Shalford Road (A281) in Guildford has now reopened between Pilgrims Way & Chantry View Road following a collision this morning.
01-Aug-22,Guildford Beat (Surrey Police) (@GuildfordBeat),Update: The Shalford Road (A281) in Guildford has now reopened between Pilgrims Way and Chantry View Road following a collision this morning.
01-Aug-22,SurreyLive (@surreylive),Follow our live updates as a collision closes the A281 between Guildford and Shalford
01-Aug-22,National Highways: South-East (@HighwaysSEAST),"Police are dealing with a collision on the #A3 northbound by the Dennis Roundabout (#A322) near #Guildford. There's approximately 4 miles of congestion on approach at this time, so allow extra journey if you're travelling in the area this morning. Updates to follow."
31-Jul-22,National Highways: South-East (@HighwaysSEAST),"Lanes 1, 2 and 3 (of 4) are closed on the #M25 clockwise between J9 #Leatherhead and J10 #Guildford due to a serious collision. Emergency services are on scene, please take care as you approach. There are long delays of at least 40 minutes above usual journey times from J8."
29-Jul-22,Hampshire Live (@HampshireLive),Third man dies following collision along Farnham bypass near Hampshire
28-Jul-22,BBC Radio London Travel (@BBCTravelAlert),The southbound #M3 is down to one lane approaching J4 Camberley because of a collision - queues from J3 Bagshot
28-Jul-22,Candy Carriers - Transport Services in Kent (@CandyCarriers),"Thursday 28th July 2022 @ 08:30 M25 Accident Report M3 eastbound at junction J4 (Guildford) Hard shoulder, lanes 1 & 2 closed Road traffic collision Expected to clear between 10:00 & 10:15 Two lanes closed"
28-Jul-22,BBC Sussex and Surrey Travel (@BBCSxSyTravel),"#M3 NORTHBOUND Queueing traffic for three miles due to collision, now on the hard shoulder at J4 A331 Blackwater Valley Route (Camberley). Congestion to J4a Farnborough). Travel time is around 25 minutes. All lanes have been re-opened"
27-Jul-22,National Highways: South-East (@HighwaysSEAST),Update - All lanes are now open on the #M25 anti-clockwise between J10 (#A3) and J9 (#Leatherhead) following an earlier collision. There are approx. 6 miles of residual congestion causing 50 min delays above normal travel time. Please allow time for delays to clear.
27-Jul-22,National Highways: South-East (@HighwaysSEAST),3 lanes (of 4) are closed on the #M25 anti-clockwise between J10 (#A3) and J9 (#Leatherhead) due to a collision involving an overturned car. There are approx. 2.5 miles of congestion on approach so please allow plenty of extra travel time if in the area.
27-Jul-22,BBC Sussex and Surrey Travel (@BBCSxSyTravel),#M25 CLOCKWISE One lane blocked and queueing traffic due to a collision between J7 M23 and J8 A217 Brighton Road (Reigate). Congestion to J6 Godstone. In lane four (of four).
26-Jul-22,Christine Marks (@CJM658),"That is special. My daughter was a mad John Farnham fan at the age of 4. She had all his videos and CDs and was desperate to see him live and had to give him flowers. So off to Euroa, we drive, had a car accident on the way, security wouldn't give them to him. Nice ladies in the front row allow."
25-Jul-22,?? Mel Shepperdson ?????????????? (@MelaineJshepp),"Replying to @SilverAlso @AJRichardsonMP and @Guildford_Cons Iím just shocked that you feel the need to disagree when the car crash Nadine Dorries, a CABINET MINISTER, tweets awful stuff day after day without fear of being reprimanded. Hope you put as much energy into having a go at her and her unbecoming behavior."
25-Jul-22,?? Mel Shepperdson ?????????????? (@MelaineJshepp),"Replying to @SilverAlso @AJRichardsonMP and @Guildford_Cons Really? And you donít think the car crash that is Nadine Dorries tweets are better? At least this is truthful, rare to see from a Tory! ??"
25-Jul-22,BBC Sussex and Surrey Travel (@BBCSxSyTravel),#GUILDFORD A3 SOUTHBOUND Reports of queueing traffic due to collision on A3 Southbound at Egerton Road (Cathedral Turn).
24-Jul-22,Horsham YMCA FC (@horshamymcafc),"So we ended with quite a fiery last preseason Friendly against a very strong Epsom side, We wish Zach Jeanes a speedy recovery after a nasty collision with the barrier. Unbeaten so far and now we prepare for next week."
22-Jul-22,Australian Traffic Network WA (@GettrafficWA),Bayswater - collision in the right hand lane northbound Tonkin Highway at Guildford Road
